theme_id,title,observed_item_count,status,label_status
T01,Person / Identität / Familie,2900,active,canonical
T02,Alltag / Zeit / Organisation,3401,active,canonical
T03,Wohnen / Haushalt / Verträge,1896,active,canonical
T04,Einkaufen / Geld / Konsum,1851,active,canonical
T05,Essen / Gesundheit / Pflege,1652,active,canonical
T06,Arbeit / Beruf / Karriere,1852,active,canonical
T07,Schule / Bildung / Weiterbildung,1801,active,canonical
T08,Verkehr / Reise / Orientierung,1688,active,canonical
T09,Kommunikation / Telefon / Nachricht / E-Mail,2224,active,canonical
T10,Termine / Formulare / Behörden / Recht,2191,active,canonical
T11,Freizeit / Kultur / Service / soziale Kontakte,1910,active,canonical
T12,Medien / Digitales / Nachrichten,1209,active,canonical
T13,Gesellschaft / Integration / Werte,1227,active,canonical
T14,Umwelt / Nachhaltigkeit / Alltagssysteme,1201,active,canonical
T15,Wirtschaft / Finanzen / Arbeitswelt,1257,active,canonical
T16,Wissenschaft / Technik / Forschung,904,active,canonical
T17,Politik / Öffentlichkeit / Debatte,910,active,canonical
T18,Analyse / Interpretation / Argumentation,900,active,canonical
